run_dir,first_round,final_round,first_val_rmse,final_val_rmse,best_val_rmse,best_val_rmse_round,delta_val_rmse_first_to_final,val_rmse@0,val_rmse@5,val_rmse@10,val_rmse@15,val_rmse@20,val_rmse@25,val_rmse@30,final_val_mae,final_val_accuracy,final_train_loss,final_total_bytes,client_update.steps,client_update.lr
2026-05-25_14-14-28_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_5__client_update_lr_0p2__seed_43,0,30,1.092220425605774,0.9986419081687928,0.9986419081687928,30,0.09357851743698109,1.092220425605774,1.0078763961791992,1.003878831863403,1.0107591152191162,1.0074608325958252,0.9989408254623412,0.9986419081687928,0.7969678044319153,0.3885791897773742,0.8917300438880921,366897000.0,5,0.2
2026-05-25_14-20-50_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_5__client_update_lr_0p2__seed_44,0,30,1.092172622680664,0.9980657696723938,0.9980657696723938,30,0.09410685300827026,1.092172622680664,1.0086978673934937,1.0040556192398071,1.0108468532562256,1.007135987281799,0.9987791776657104,0.9980657696723938,0.796876847743988,0.3900747895240783,0.8713914346694946,366897000.0,5,0.2
2026-05-25_14-08-28_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_10__client_update_lr_0p01__seed_42,0,30,1.0922261476516724,1.007543683052063,1.007543683052063,30,0.08468246459960938,1.0922261476516724,1.0521948337554932,1.0259737968444824,1.025320529937744,1.0172202587127686,1.0086157321929932,1.007543683052063,0.8116120100021362,0.3772943615913391,1.1247251999378205,366897000.0,10,0.01
2026-05-25_14-14-46_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_10__client_update_lr_0p01__seed_43,0,30,1.092220425605774,1.0074396133422852,1.0074396133422852,30,0.08478081226348877,1.092220425605774,1.0519232749938965,1.0268282890319824,1.0261300802230835,1.0169066190719604,1.0084620714187622,1.0074396133422852,0.8116098642349243,0.3777022361755371,1.06083829164505,366897000.0,10,0.01
2026-05-25_14-21-09_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_10__client_update_lr_0p01__seed_44,0,30,1.092172622680664,1.0076806545257568,1.0076806545257568,30,0.08449196815490723,1.092172622680664,1.0529940128326416,1.0275063514709473,1.026187300682068,1.0171985626220703,1.009016513824463,1.0076806545257568,0.8121745586395264,0.3764785826206207,1.028258318901062,366897000.0,10,0.01
2026-05-25_14-08-49_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_10__client_update_lr_0p03__seed_42,0,30,1.0922261476516724,1.004259705543518,1.0035083293914795,25,0.0879664421081543,1.0922261476516724,1.0241063833236694,1.007680058479309,1.0140787363052368,1.0110851526260376,1.0035083293914795,1.004259705543518,0.8018815517425537,0.3880353569984436,1.0260879337787627,366897000.0,10,0.03
2026-05-25_14-15-10_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_10__client_update_lr_0p03__seed_43,0,30,1.092220425605774,1.0041460990905762,1.0034735202789309,25,0.08807432651519775,1.092220425605774,1.0238443613052368,1.0084776878356934,1.0143519639968872,1.0109373331069946,1.0034735202789309,1.0041460990905762,0.8020667433738708,0.3874914944171905,0.971473822593689,366897000.0,10,0.03
2026-05-25_14-21-32_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_10__client_update_lr_0p03__seed_44,0,30,1.092172622680664,1.0039860010147097,1.0036166906356812,25,0.08818662166595437,1.092172622680664,1.0250602960586548,1.0087789297103882,1.014316201210022,1.010915994644165,1.0036166906356812,1.0039860010147097,0.8025103807449341,0.3887151479721069,0.9424378454685212,366897000.0,10,0.03
2026-05-25_14-09-11_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_10__client_update_lr_0p05__seed_42,0,30,1.0922261476516724,1.0026321411132812,1.002082109451294,25,0.08959400653839111,1.0922261476516724,1.0148509740829468,1.0052897930145264,1.0129377841949463,1.0099698305130005,1.002082109451294,1.0026321411132812,0.7999668121337891,0.3895309269428253,0.9824806094169616,366897000.0,10,0.05
2026-05-25_14-15-31_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_10__client_update_lr_0p05__seed_43,0,30,1.092220425605774,1.0025051832199097,1.0020960569381714,25,0.08971524238586426,1.092220425605774,1.014597773551941,1.005841851234436,1.0129653215408323,1.0099668502807615,1.0020960569381714,1.0025051832199097,0.8002849221229553,0.3866757452487945,0.9401734685897828,366897000.0,10,0.05
2026-05-25_14-21-53_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_10__client_update_lr_0p05__seed_44,0,30,1.092172622680664,1.002208232879639,1.002126932144165,25,0.08996438980102517,1.092172622680664,1.015654683113098,1.0060174465179443,1.0130140781402588,1.0098167657852173,1.002126932144165,1.002208232879639,0.8005597591400146,0.3893949687480926,0.912777817249298,366897000.0,10,0.05
2026-05-25_14-09-33_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_10__client_update_lr_0p1__seed_42,0,30,1.0922261476516724,0.9987928867340088,0.9987928867340088,30,0.09343326091766357,1.0922261476516724,1.008547306060791,1.0036301612854004,1.0108344554901123,1.0073072910308838,0.9988503456115724,0.9987928867340088,0.7965752482414246,0.3903467059135437,0.9015363907814026,366897000.0,10,0.1
2026-05-25_14-15-54_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_10__client_update_lr_0p1__seed_43,0,30,1.092220425605774,0.9986592531204224,0.9986592531204224,30,0.09356117248535156,1.092220425605774,1.0082967281341553,1.003904938697815,1.0107715129852295,1.0074652433395386,0.9989566802978516,0.9986592531204224,0.7969976663589478,0.3887151479721069,0.8828016006946564,366897000.0,10,0.1
2026-05-25_14-22-16_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_10__client_update_lr_0p1__seed_44,0,30,1.092172622680664,0.99808007478714,0.99808007478714,30,0.09409254789352406,1.092172622680664,1.009145736694336,1.0040810108184814,1.0108506679534912,1.007146239280701,0.9987863302230836,0.99808007478714,0.7969231605529785,0.3900747895240783,0.8648044610023499,366897000.0,10,0.1
2026-05-25_14-09-55_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_10__client_update_lr_0p2__seed_42,0,30,1.0922261476516724,0.9920856356620787,0.9920856356620787,30,0.10014051198959362,1.0922261476516724,1.005898118019104,1.0010541677474976,1.0068594217300415,1.0024919509887695,0.993161916732788,0.9920856356620787,0.791068971157074,0.3938817083835602,0.7776521921157837,366897000.0,10,0.2
2026-05-25_14-16-15_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_10__client_update_lr_0p2__seed_43,0,30,1.092220425605774,0.9919291734695436,0.9919291734695436,30,0.10029125213623036,1.092220425605774,1.0056356191635132,1.0011992454528809,1.0068635940551758,1.002799153327942,0.9934080839157104,0.9919291734695436,0.7914910316467285,0.3934738337993622,0.7932022631168365,366897000.0,10,0.2
2026-05-25_14-22-38_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_10__client_update_lr_0p2__seed_44,0,30,1.092172622680664,0.9908438324928284,0.9908438324928284,30,0.1013287901878357,1.092172622680664,1.0064867734909058,1.001460313796997,1.0068503618240356,1.0022683143615725,0.992810070514679,0.9908438324928284,0.7909693717956543,0.3944255709648132,0.7947377735376357,366897000.0,10,0.2
