run_dir,split,rating_count_group,n_clients,total_query_examples,mean_num_examples,mean_rmse,median_rmse,pooled_rmse,mean_mae,weighted_mae,mean_accuracy,weighted_accuracy,evaluation.reconstruction_steps,client_update.steps,client_update.lr
2026-05-26_15-47-31_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_2__seed_42,test,201-500,132,20504,310.57575757575756,1.0147685900782093,0.994567334651947,1.0365528989655077,0.8381346714767542,0.841280802517513,0.3751510486684062,0.374122122999599,2,10,0.2
2026-05-26_15-47-31_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_2__seed_42,test,>500,37,14906,805.7297297297297,1.1005395489770013,1.1010602712631226,1.129996693051365,0.9157924644044928,0.9240413461233903,0.361724461655359,0.36052596237468953,2,10,0.2
2026-05-26_15-47-53_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_5__seed_42,test,<=50,177,2882,32.51412429378531,1.0049032090747423,0.9665027260780334,1.030549325422325,0.8398779164263084,0.837534126258823,0.3362640637041485,0.33934767967468743,5,10,0.2
2026-05-26_15-47-53_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_5__seed_42,test,51-100,137,4931,71.94890510948905,0.9982878583191085,0.969066858291626,1.023353598864716,0.8163428574147886,0.8178238645634142,0.3586276560260432,0.35651997823432113,5,10,0.2
2026-05-26_15-47-53_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_5__seed_42,test,101-200,121,8203,135.63636363636363,0.9947637378676863,0.9852049946784972,1.0123607854970929,0.8115798136419501,0.8126458728021345,0.3598376634446057,0.35962452867089806,5,10,0.2
2026-05-26_15-47-53_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_5__seed_42,test,201-500,132,20504,310.57575757575756,0.9893312422615109,0.980687141418457,1.009344701812143,0.8126951724742398,0.8149031995913036,0.37883389142878127,0.3795357013213544,5,10,0.2
2026-05-26_15-47-53_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_5__seed_42,test,>500,37,14906,805.7297297297297,1.0683430900444855,1.0962666273117063,1.091812118782804,0.8815510554893596,0.8861974927961754,0.36376473428429784,0.3619347938813652,5,10,0.2
2026-05-26_15-48-19_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_10__seed_42,test,<=50,177,2882,32.51412429378531,1.0068176380321805,0.9724924564361572,1.0341515259547673,0.839819580653293,0.8361058943206283,0.3289004097466415,0.33379597904252395,10,10,0.2
2026-05-26_15-48-19_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_10__seed_42,test,51-100,137,4931,71.94890510948905,0.9952060314860657,0.9696441888809204,1.0217548697020054,0.8108155279263963,0.8127109617859131,0.36544221655948317,0.3624011384237492,10,10,0.2
2026-05-26_15-48-19_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_10__seed_42,test,101-200,121,8203,135.63636363636363,0.9855960021334246,0.9835106134414672,1.0024547180036114,0.7982446327189768,0.7992915429858831,0.371876626714202,0.371815190418572,10,10,0.2
2026-05-26_15-48-19_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_10__seed_42,test,201-500,132,20504,310.57575757575756,0.9813632807045272,0.977959245443344,1.0012858103736941,0.8044833148067648,0.8064615322459363,0.3753214909723311,0.37656067207839355,10,10,0.2
2026-05-26_15-48-19_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_10__seed_42,test,>500,37,14906,805.7297297297297,1.0586212647927773,1.084530234336853,1.0806289719086841,0.8710788190364838,0.8757883051302102,0.36558518256690054,0.36361197105301607,10,10,0.2
2026-05-26_15-48-50_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_20__seed_42,test,<=50,177,2882,32.51412429378531,1.0107462626729309,0.9720072746276855,1.039087866019486,0.8419143028851956,0.8377813462951298,0.3369937591507273,0.340735604584548,20,10,0.2
2026-05-26_15-48-50_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_20__seed_42,test,51-100,137,4931,71.94890510948905,0.9965999913911749,0.971513330936432,1.0235155930532307,0.8106168706486695,0.8125145876173121,0.3724900246427877,0.3688906947480595,20,10,0.2
2026-05-26_15-48-50_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_20__seed_42,test,101-200,121,8203,135.63636363636363,0.9850121002551938,0.9863306283950806,1.001717138144382,0.7948552535092535,0.7960487099467262,0.3755086527383032,0.3753504829080922,20,10,0.2
2026-05-26_15-48-50_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_20__seed_42,test,201-500,132,20504,310.57575757575756,0.9807164411653172,0.9756995439529419,1.0007563763059015,0.8033434062293081,0.8052961441077411,0.3761001188646663,0.37738977847573607,20,10,0.2
2026-05-26_15-48-50_sweep_eval_reconstruction_steps_strong_update_v1__evaluation_reconstruction_steps_20__seed_42,test,>500,37,14906,805.7297297297297,1.0580454130430479,1.0873106718063354,1.0799943628050177,0.8721952953854123,0.8777365366012702,0.36081350775989324,0.359184223165348,20,10,0.2
